year,energy,country,lat,lng
1/1/1990,13.03502916,Belgium,50.8333,4
1/1/1990,41.16596521,Czech Republic,49.75,15.5
1/1/1990,111.9014706,France,46,2
1/1/1990,190.1304067,Germany,51,9
1/1/1990,25.74905275,Italy,42.8333,12.8333
1/1/1990,60.59976811,Netherlands,52.5,5.75
1/1/1990,104.2417506,Poland,52,20
1/1/1990,3.401425145,Portugal,39.5,-8
1/1/1990,40.80081877,Romania,46,25
1/1/1990,35.2622888,Spain,40,-4
1/1/1990,29.68550483,Sweden,62,15
1/1/1990,207.9947355,United Kingdom,54,-2
1/1/1990,119.4761862,Norway,62,10
1/1/1990,90.97573134,Kazakhstan,48,68
1/1/1990,1295.902579,Russia,60,100
1/1/1990,126.6006287,Ukraine,49,32
1/1/1990,276.1228575,Canada,60,-95
1/1/1990,48.42407664,Argentina,-34,-64
1/1/1990,104.4254619,Brazil,-10,-55
1/1/1990,7.928413315,Chile,-30,-71
1/1/1990,48.18032491,Colombia,4,-72
1/1/1990,195.17663,Mexico,23,-102
1/1/1990,880.9262686,China,35,105
1/1/1990,280.4804669,India,20,77
1/1/1990,168.558639,Indonesia,-5,120
1/1/1990,76.12256917,Japan,36,138
1/1/1990,48.36825173,Malaysia,2.5,112.5
1/1/1990,23.6753661,South Korea,37,127.5
1/1/1990,10.64873896,Taiwan,23.5,121
1/1/1990,157.4134736,Australia,-27,133
1/1/1990,100.1016156,Algeria,28,3
1/1/1990,54.85936979,Egypt,27,30
1/1/1990,146.3023106,Nigeria,10,8
1/1/1990,50.37719393,Kuwait,29.3375,47.6581
1/1/1990,368.4370114,Saudi Arabia,25,45
1/1/1991,12.92105505,Belgium,50.8333,4
1/1/1991,39.01928336,Czech Republic,49.75,15.5
1/1/1991,118.5263843,France,46,2
1/1/1991,168.7614284,Germany,51,9
1/1/1991,26.49877625,Italy,42.8333,12.8333
1/1/1991,67.53890903,Netherlands,52.5,5.75
1/1/1991,99.97975209,Poland,52,20
1/1/1991,3.4022156,Portugal,39.5,-8
1/1/1991,35.95909209,Romania,46,25
1/1/1991,34.97299053,Spain,40,-4
1/1/1991,31.42867196,Sweden,62,15
1/1/1991,214.7380055,United Kingdom,54,-2
1/1/1991,131.4713368,Norway,62,10
1/1/1991,91.87110963,Kazakhstan,48,68
1/1/1991,1219.63829,Russia,60,100
1/1/1991,110.7757973,Ukraine,49,32
1/1/1991,287.4038328,Canada,60,-95
1/1/1991,50.22351756,Argentina,-34,-64
1/1/1991,105.0163092,Brazil,-10,-55
1/1/1991,8.349283101,Chile,-30,-71
1/1/1991,46.35019657,Colombia,4,-72
1/1/1991,203.7339663,Mexico,23,-102
1/1/1991,886.7622812,China,35,105
1/1/1991,290.4980579,India,20,77
1/1/1991,183.1594355,Indonesia,-5,120
1/1/1991,80.12288417,Japan,36,138
1/1/1991,52.60142435,Malaysia,2.5,112.5
1/1/1991,23.16993401,South Korea,37,127.5
1/1/1991,10.7014535,Taiwan,23.5,121
1/1/1991,166.8917178,Australia,-27,133
1/1/1991,102.5741006,Algeria,28,3
1/1/1991,55.52231784,Egypt,27,30
1/1/1991,152.4854032,Nigeria,10,8
1/1/1991,10.04804192,Kuwait,29.3375,47.6581
1/1/1991,463.6539793,Saudi Arabia,25,45
1/1/1992,12.67925828,Belgium,50.8333,4
1/1/1992,36.77119055,Czech Republic,49.75,15.5
1/1/1992,120.1989878,France,46,2
1/1/1992,163.5720887,Germany,51,9
1/1/1992,27.73997292,Italy,42.8333,12.8333
1/1/1992,67.57824973,Netherlands,52.5,5.75
1/1/1992,97.52411644,Poland,52,20
1/1/1992,2.94636442,Portugal,39.5,-8
1/1/1992,34.4717249,Romania,46,25
1/1/1992,34.08081753,Spain,40,-4
1/1/1992,29.45881681,Sweden,62,15
1/1/1992,214.9595466,United Kingdom,54,-2
1/1/1992,147.1477777,Norway,62,10
1/1/1992,89.51620264,Kazakhstan,48,68
1/1/1992,1143.33879,Russia,60,100
1/1/1992,104.2698303,Ukraine,49,32
1/1/1992,296.3863346,Canada,60,-95
1/1/1992,54.32919714,Argentina,-34,-64
1/1/1992,104.9904926,Brazil,-10,-55
1/1/1992,8.631101787,Chile,-30,-71
1/1/1992,47.87654391,Colombia,4,-72
1/1/1992,203.084347,Mexico,23,-102
1/1/1992,904.0853441,China,35,105
1/1/1992,293.695524,India,20,77
1/1/1992,187.3908173,Indonesia,-5,120
1/1/1992,81.15362945,Japan,36,138
1/1/1992,53.99204954,Malaysia,2.5,112.5
1/1/1992,20.91782402,South Korea,37,127.5
1/1/1992,10.37358515,Taiwan,23.5,121
1/1/1992,171.4680468,Australia,-27,133
1/1/1992,104.1933163,Algeria,28,3
1/1/1992,56.54966045,Egypt,27,30
1/1/1992,157.6706713,Nigeria,10,8
1/1/1992,59.74910052,Kuwait,29.3375,47.6581
1/1/1992,477.1965616,Saudi Arabia,25,45
1/1/1993,12.00849204,Belgium,50.8333,4
1/1/1993,36.19125719,Czech Republic,49.75,15.5
1/1/1993,126.4110541,France,46,2
1/1/1993,152.7115809,Germany,51,9
1/1/1993,28.77212667,Italy,42.8333,12.8333
1/1/1993,68.88861002,Netherlands,52.5,5.75
1/1/1993,97.38362954,Poland,52,20
1/1/1993,3.28181924,Portugal,39.5,-8
1/1/1993,33.47668935,Romania,46,25
1/1/1993,33.23020237,Spain,40,-4
1/1/1993,29.30133837,Sweden,62,15
1/1/1993,223.4067286,United Kingdom,54,-2
1/1/1993,155.3434245,Norway,62,10
1/1/1993,78.89171633,Kazakhstan,48,68
1/1/1993,1062.76448,Russia,60,100
1/1/1993,94.67640275,Ukraine,49,32
1/1/1993,318.4016546,Canada,60,-95
1/1/1993,57.13533489,Argentina,-34,-64
1/1/1993,105.9068436,Brazil,-10,-55
1/1/1993,8.23118159,Chile,-30,-71
1/1/1993,48.55646157,Colombia,4,-72
1/1/1993,206.3163303,Mexico,23,-102
1/1/1993,933.0055439,China,35,105
1/1/1993,297.5557155,India,20,77
1/1/1993,194.2827271,Indonesia,-5,120
1/1/1993,88.57288985,Japan,36,138
1/1/1993,56.07450016,Malaysia,2.5,112.5
1/1/1993,20.65883444,South Korea,37,127.5
1/1/1993,10.26858805,Taiwan,23.5,121
1/1/1993,174.2593083,Australia,-27,133
1/1/1993,104.9159792,Algeria,28,3
1/1/1993,59.77087816,Egypt,27,30
1/1/1993,160.4576854,Nigeria,10,8
1/1/1993,106.5454835,Kuwait,29.3375,47.6581
1/1/1993,471.7537476,Saudi Arabia,25,45
1/1/1994,11.58910567,Belgium,50.8333,4
1/1/1994,33.55890226,Czech Republic,49.75,15.5
1/1/1994,123.7899595,France,46,2
1/1/1994,145.3093145,Germany,51,9
1/1/1994,29.98858371,Italy,42.8333,12.8333
1/1/1994,66.76898348,Netherlands,52.5,5.75
1/1/1994,97.89604302,Poland,52,20
1/1/1994,3.490227825,Portugal,39.5,-8
1/1/1994,31.79389882,Romania,46,25
1/1/1994,32.42132758,Spain,40,-4
1/1/1994,31.24214843,Sweden,62,15
1/1/1994,251.8011903,United Kingdom,54,-2
1/1/1994,170.5354929,Norway,62,10
1/1/1994,71.19587857,Kazakhstan,48,68
1/1/1994,994.0733791,Russia,60,100
1/1/1994,82.61937122,Ukraine,49,32
1/1/1994,341.1259829,Canada,60,-95
1/1/1994,62.43241485,Argentina,-34,-64
1/1/1994,110.9588044,Brazil,-10,-55
1/1/1994,8.31684185,Chile,-30,-71
1/1/1994,50.4242151,Colombia,4,-72
1/1/1994,205.3350183,Mexico,23,-102
1/1/1994,986.1947923,China,35,105
1/1/1994,308.2157989,India,20,77
1/1/1994,207.5140407,Indonesia,-5,120
1/1/1994,91.44025772,Japan,36,138
1/1/1994,57.97819851,Malaysia,2.5,112.5
1/1/1994,20.07785708,South Korea,37,127.5
1/1/1994,10.53186983,Taiwan,23.5,121
1/1/1994,172.869956,Australia,-27,133
1/1/1994,100.6008485,Algeria,28,3
1/1/1994,59.20377754,Egypt,27,30
1/1/1994,161.682127,Nigeria,10,8
1/1/1994,113.9003468,Kuwait,29.3375,47.6581
1/1/1994,461.8478827,Saudi Arabia,25,45
1/1/1995,11.87037947,Belgium,50.8333,4
1/1/1995,32.69029806,Czech Republic,49.75,15.5
1/1/1995,127.8667725,France,46,2
1/1/1995,144.9460458,Germany,51,9
1/1/1995,29.66749744,Italy,42.8333,12.8333
1/1/1995,66.89810147,Netherlands,52.5,5.75
1/1/1995,99.50543791,Poland,52,20
1/1/1995,3.31735872,Portugal,39.5,-8
1/1/1995,32.46227415,Romania,46,25
1/1/1995,31.67515539,Spain,40,-4
1/1/1995,31.82251389,Sweden,62,15
1/1/1995,257.521151,United Kingdom,54,-2
1/1/1995,185.0103482,Norway,62,10
1/1/1995,63.84956338,Kazakhstan,48,68
1/1/1995,969.8038452,Russia,60,100
1/1/1995,77.88514114,Ukraine,49,32
1/1/1995,351.9349411,Canada,60,-95
1/1/1995,67.13204584,Argentina,-34,-64
1/1/1995,112.3225651,Brazil,-10,-55
1/1/1995,8.303247467,Chile,-30,-71
1/1/1995,59.24266033,Colombia,4,-72
1/1/1995,203.8932313,Mexico,23,-102
1/1/1995,1064.586383,China,35,105
1/1/1995,322.7415014,India,20,77
1/1/1995,214.5407228,Indonesia,-5,120
1/1/1995,99.51953983,Japan,36,138
1/1/1995,64.39529594,Malaysia,2.5,112.5
1/1/1995,22.09215502,South Korea,37,127.5
1/1/1995,10.62631,Taiwan,23.5,121
1/1/1995,186.8893892,Australia,-27,133
1/1/1995,106.708303,Algeria,28,3
1/1/1995,59.81105929,Egypt,27,30
1/1/1995,164.6150594,Nigeria,10,8
1/1/1995,114.8980103,Kuwait,29.3375,47.6581
1/1/1995,464.2371161,Saudi Arabia,25,45
1/1/1996,12.31916422,Belgium,50.8333,4
1/1/1996,33.34519993,Czech Republic,49.75,15.5
1/1/1996,131.7972808,France,46,2
1/1/1996,143.2147804,Germany,51,9
1/1/1996,30.5153509,Italy,42.8333,12.8333
1/1/1996,74.78309246,Netherlands,52.5,5.75
1/1/1996,102.404718,Poland,52,20
1/1/1996,3.793070255,Portugal,39.5,-8
1/1/1996,32.96783942,Romania,46,25
1/1/1996,32.81409172,Spain,40,-4
1/1/1996,31.95737788,Sweden,62,15
1/1/1996,268.9210705,United Kingdom,54,-2
1/1/1996,207.8735394,Norway,62,10
1/1/1996,63.708924,Kazakhstan,48,68
1/1/1996,969.147579,Russia,60,100
1/1/1996,70.63187254,Ukraine,49,32
1/1/1996,360.7339933,Canada,60,-95
1/1/1996,72.58254924,Argentina,-34,-64
1/1/1996,118.882071,Brazil,-10,-55
1/1/1996,8.330378104,Chile,-30,-71
1/1/1996,64.83555305,Colombia,4,-72
1/1/1996,214.1203497,Mexico,23,-102
1/1/1996,1091.143733,China,35,105
1/1/1996,328.012647,India,20,77
1/1/1996,222.7268361,Indonesia,-5,120
1/1/1996,102.4835034,Japan,36,138
1/1/1996,70.44834337,Malaysia,2.5,112.5
1/1/1996,23.3630181,South Korea,37,127.5
1/1/1996,11.17845468,Taiwan,23.5,121
1/1/1996,189.7541617,Australia,-27,133
1/1/1996,112.6451183,Algeria,28,3
1/1/1996,58.6693989,Egypt,27,30
1/1/1996,177.1230637,Nigeria,10,8
1/1/1996,115.2155651,Kuwait,29.3375,47.6581
1/1/1996,469.0584827,Saudi Arabia,25,45
1/1/1997,13.34416815,Belgium,50.8333,4
1/1/1997,33.68758957,Czech Republic,49.75,15.5
1/1/1997,128.7374541,France,46,2
1/1/1997,144.8381817,Germany,51,9
1/1/1997,30.67683262,Italy,42.8333,12.8333
1/1/1997,66.51451271,Netherlands,52.5,5.75
1/1/1997,100.0109758,Poland,52,20
1/1/1997,3.74775648,Portugal,39.5,-8
1/1/1997,31.58083105,Romania,46,25
1/1/1997,31.86225343,Spain,40,-4
1/1/1997,32.45166106,Sweden,62,15
1/1/1997,268.2499744,United Kingdom,54,-2
1/1/1997,213.3258337,Norway,62,10
1/1/1997,65.55285056,Kazakhstan,48,68
1/1/1997,937.478569,Russia,60,100
1/1/1997,71.2471687,Ukraine,49,32
1/1/1997,367.1849215,Canada,60,-95
1/1/1997,76.79744962,Argentina,-34,-64
1/1/1997,126.6006405,Brazil,-10,-55
1/1/1997,8.363851565,Chile,-30,-71
1/1/1997,66.72854357,Colombia,4,-72
1/1/1997,225.7392168,Mexico,23,-102
1/1/1997,1080.595825,China,35,105
1/1/1997,338.3474317,India,20,77
1/1/1997,227.6589039,Indonesia,-5,120
1/1/1997,106.8085818,Japan,36,138
1/1/1997,74.53997577,Malaysia,2.5,112.5
1/1/1997,24.80204316,South Korea,37,127.5
1/1/1997,10.98617528,Taiwan,23.5,121
1/1/1997,201.1173161,Australia,-27,133
1/1/1997,121.6256442,Algeria,28,3
1/1/1997,57.69167597,Egypt,27,30
1/1/1997,188.7709927,Nigeria,10,8
1/1/1997,115.1423133,Kuwait,29.3375,47.6581
1/1/1997,464.4764137,Saudi Arabia,25,45
1/1/1998,13.04035209,Belgium,50.8333,4
1/1/1998,31.68876995,Czech Republic,49.75,15.5
1/1/1998,125.4191191,France,46,2
1/1/1998,136.9100524,Germany,51,9
1/1/1998,30.56648358,Italy,42.8333,12.8333
1/1/1998,63.92361367,Netherlands,52.5,5.75
1/1/1998,87.34794574,Poland,52,20
1/1/1998,3.732406565,Portugal,39.5,-8
1/1/1998,29.04445544,Romania,46,25
1/1/1998,32.58273825,Spain,40,-4
1/1/1998,33.96167239,Sweden,62,15
1/1/1998,271.8844275,United Kingdom,54,-2
1/1/1998,206.5211583,Norway,62,10
1/1/1998,64.80958058,Kazakhstan,48,68
1/1/1998,943.5118806,Russia,60,100
1/1/1998,70.81886725,Ukraine,49,32
1/1/1998,370.703476,Canada,60,-95
1/1/1998,79.5405731,Argentina,-34,-64
1/1/1998,133.7322547,Brazil,-10,-55
1/1/1998,8.107961979,Chile,-30,-71
1/1/1998,72.70549428,Colombia,4,-72
1/1/1998,225.8798706,Mexico,23,-102
1/1/1998,1079.269833,China,35,105
1/1/1998,337.1069927,India,20,77
1/1/1998,229.1209374,Indonesia,-5,120
1/1/1998,109.3665806,Japan,36,138
1/1/1998,75.11925768,Malaysia,2.5,112.5
1/1/1998,28.3247644,South Korea,37,127.5
1/1/1998,11.3167138,Taiwan,23.5,121
1/1/1998,216.5823923,Australia,-27,133
1/1/1998,127.0760416,Algeria,28,3
1/1/1998,57.20417715,Egypt,27,30
1/1/1998,184.6227718,Nigeria,10,8
1/1/1998,117.4261941,Kuwait,29.3375,47.6581
1/1/1998,478.6532907,Saudi Arabia,25,45
1/1/1999,13.85162407,Belgium,50.8333,4
1/1/1999,28.87251556,Czech Republic,49.75,15.5
1/1/1999,127.1409974,France,46,2
1/1/1999,137.8290755,Germany,51,9
1/1/1999,29.49349099,Italy,42.8333,12.8333
1/1/1999,59.85971785,Netherlands,52.5,5.75
1/1/1999,83.65593214,Poland,52,20
1/1/1999,3.367840555,Portugal,39.5,-8
1/1/1999,27.95293669,Romania,46,25
1/1/1999,30.97197671,Spain,40,-4
1/1/1999,33.20903535,Sweden,62,15
1/1/1999,281.5730515,United Kingdom,54,-2
1/1/1999,210.1616615,Norway,62,10
1/1/1999,66.12125121,Kazakhstan,48,68
1/1/1999,961.7385388,Russia,60,100
1/1/1999,71.54838168,Ukraine,49,32
1/1/1999,369.3171277,Canada,60,-95
1/1/1999,80.50735919,Argentina,-34,-64
1/1/1999,141.6268207,Brazil,-10,-55
1/1/1999,7.958942571,Chile,-30,-71
1/1/1999,75.54961737,Colombia,4,-72
1/1/1999,224.5391824,Mexico,23,-102
1/1/1999,1073.894728,China,35,105
1/1/1999,344.3273192,India,20,77
1/1/1999,237.9259982,Indonesia,-5,120
1/1/1999,104.8785756,Japan,36,138
1/1/1999,73.59812856,Malaysia,2.5,112.5
1/1/1999,32.23409202,South Korea,37,127.5
1/1/1999,11.70405498,Taiwan,23.5,121
1/1/1999,213.67454,Australia,-27,133
1/1/1999,136.9629236,Algeria,28,3
1/1/1999,59.32285964,Egypt,27,30
1/1/1999,183.1029851,Nigeria,10,8
1/1/1999,107.6766811,Kuwait,29.3375,47.6581
1/1/1999,442.3689867,Saudi Arabia,25,45
1/1/2000,13.66981172,Belgium,50.8333,4
1/1/2000,30.91231759,Czech Republic,49.75,15.5
1/1/2000,130.6577302,France,46,2
1/1/2000,135.6382447,Germany,51,9
1/1/2000,28.45234405,Italy,42.8333,12.8333
1/1/2000,58.47551912,Netherlands,52.5,5.75
1/1/2000,79.63370835,Poland,52,20
1/1/2000,3.84667292,Portugal,39.5,-8
1/1/2000,28.32353074,Romania,46,25
1/1/2000,32.19502429,Spain,40,-4
1/1/2000,30.48706461,Sweden,62,15
1/1/2000,272.4630224,United Kingdom,54,-2
1/1/2000,228.0235877,Norway,62,10
1/1/2000,78.57400254,Kazakhstan,48,68
1/1/2000,977.625439,Russia,60,100
1/1/2000,72.15028213,Ukraine,49,32
1/1/2000,377.2117351,Canada,60,-95
1/1/2000,82.89745107,Argentina,-34,-64
1/1/2000,147.8149233,Brazil,-10,-55
1/1/2000,8.58142928,Chile,-30,-71
1/1/2000,72.3302291,Colombia,4,-72
1/1/2000,228.3464828,Mexico,23,-102
1/1/2000,1123.710683,China,35,105
1/1/2000,350.7639462,India,20,77
1/1/2000,237.489506,Indonesia,-5,120
1/1/2000,106.1679495,Japan,36,138
1/1/2000,77.71301066,Malaysia,2.5,112.5
1/1/2000,36.31355165,South Korea,37,127.5
1/1/2000,11.79291492,Taiwan,23.5,121
1/1/2000,233.6868858,Australia,-27,133
1/1/2000,142.2082407,Algeria,28,3
1/1/2000,53.09408444,Egypt,27,30
1/1/2000,197.9330058,Nigeria,10,8
1/1/2000,114.2361535,Kuwait,29.3375,47.6581
1/1/2000,475.8256205,Saudi Arabia,25,45
1/1/2001,13.29181207,Belgium,50.8333,4
1/1/2001,31.61719432,Czech Republic,49.75,15.5
1/1/2001,132.0143844,France,46,2
1/1/2001,134.5593857,Germany,51,9
1/1/2001,27.09904237,Italy,42.8333,12.8333
1/1/2001,61.28073522,Netherlands,52.5,5.75
1/1/2001,80.59003215,Poland,52,20
1/1/2001,4.097106615,Portugal,39.5,-8
1/1/2001,27.75990306,Romania,46,25
1/1/2001,33.8940755,Spain,40,-4
1/1/2001,33.86513114,Sweden,62,15
1/1/2001,262.3671801,United Kingdom,54,-2
1/1/2001,226.8365727,Norway,62,10
1/1/2001,83.99817836,Kazakhstan,48,68
1/1/2001,1007.840767,Russia,60,100
1/1/2001,71.91203074,Ukraine,49,32
1/1/2001,381.4086053,Canada,60,-95
1/1/2001,85.23401194,Argentina,-34,-64
1/1/2001,151.815808,Brazil,-10,-55
1/1/2001,9.079401668,Chile,-30,-71
1/1/2001,72.0993285,Colombia,4,-72
1/1/2001,233.5116365,Mexico,23,-102
1/1/2001,1176.294899,China,35,105
1/1/2001,358.2177111,India,20,77
1/1/2001,241.7508788,Indonesia,-5,120
1/1/2001,104.8447168,Japan,36,138
1/1/2001,78.88207094,Malaysia,2.5,112.5
1/1/2001,37.19757326,South Korea,37,127.5
1/1/2001,11.23583757,Taiwan,23.5,121
1/1/2001,249.1703229,Australia,-27,133
1/1/2001,136.7641788,Algeria,28,3
1/1/2001,57.02447434,Egypt,27,30
1/1/2001,207.7814001,Nigeria,10,8
1/1/2001,111.9212237,Kuwait,29.3375,47.6581
1/1/2001,464.0043671,Saudi Arabia,25,45
1/1/2002,13.49615746,Belgium,50.8333,4
1/1/2002,31.75576908,Czech Republic,49.75,15.5
1/1/2002,134.0847041,France,46,2
1/1/2002,134.3551803,Germany,51,9
1/1/2002,28.53181821,Italy,42.8333,12.8333
1/1/2002,61.28189243,Netherlands,52.5,5.75
1/1/2002,80.02287628,Poland,52,20
1/1/2002,3.6432016,Portugal,39.5,-8
1/1/2002,29.30475503,Romania,46,25
1/1/2002,31.96666312,Spain,40,-4
1/1/2002,31.78402653,Sweden,62,15
1/1/2002,259.3324228,United Kingdom,54,-2
1/1/2002,235.5391885,Norway,62,10
1/1/2002,91.2606242,Kazakhstan,48,68
1/1/2002,1045.907834,Russia,60,100
1/1/2002,72.50650276,Ukraine,49,32
1/1/2002,386.0181553,Canada,60,-95
1/1/2002,82.87593883,Argentina,-34,-64
1/1/2002,167.5287211,Brazil,-10,-55
1/1/2002,9.075235364,Chile,-30,-71
1/1/2002,68.34197343,Colombia,4,-72
1/1/2002,236.7112285,Mexico,23,-102
1/1/2002,1226.937999,China,35,105
1/1/2002,368.380687,India,20,77
1/1/2002,248.0696846,Indonesia,-5,120
1/1/2002,100.0683217,Japan,36,138
1/1/2002,82.01729034,Malaysia,2.5,112.5
1/1/2002,37.60614391,South Korea,37,127.5
1/1/2002,12.15463086,Taiwan,23.5,121
1/1/2002,254.0636699,Australia,-27,133
1/1/2002,143.1244834,Algeria,28,3
1/1/2002,59.0117564,Egypt,27,30
1/1/2002,192.2073541,Nigeria,10,8
1/1/2002,100.7476467,Kuwait,29.3375,47.6581
1/1/2002,434.7397948,Saudi Arabia,25,45
1/1/2003,13.69625349,Belgium,50.8333,4
1/1/2003,33.81042151,Czech Republic,49.75,15.5
1/1/2003,135.7527663,France,46,2
1/1/2003,135.0645216,Germany,51,9
1/1/2003,30.18912182,Italy,42.8333,12.8333
1/1/2003,59.04337314,Netherlands,52.5,5.75
1/1/2003,79.67191563,Poland,52,20
1/1/2003,4.33685874,Portugal,39.5,-8
1/1/2003,29.44228696,Romania,46,25
1/1/2003,33.16356217,Spain,40,-4
1/1/2003,30.89720788,Sweden,62,15
1/1/2003,247.4414857,United Kingdom,54,-2
1/1/2003,235.1447315,Norway,62,10
1/1/2003,101.983026,Kazakhstan,48,68
1/1/2003,1119.092869,Russia,60,100
1/1/2003,71.56365281,Ukraine,49,32
1/1/2003,387.7575488,Canada,60,-95
1/1/2003,86.11588633,Argentina,-34,-64
1/1/2003,178.488252,Brazil,-10,-55
1/1/2003,8.563597727,Chile,-30,-71
1/1/2003,73.42536596,Colombia,4,-72
1/1/2003,250.9716659,Mexico,23,-102
1/1/2003,1375.188078,China,35,105
1/1/2003,381.2507585,India,20,77
1/1/2003,254.7763655,Indonesia,-5,120
1/1/2003,87.31597331,Japan,36,138
1/1/2003,85.3636561,Malaysia,2.5,112.5
1/1/2003,41.00173303,South Korea,37,127.5
1/1/2003,12.1437099,Taiwan,23.5,121
1/1/2003,251.5926375,Australia,-27,133
1/1/2003,155.2975378,Algeria,28,3
1/1/2003,62.06336648,Egypt,27,30
1/1/2003,215.623455,Nigeria,10,8
1/1/2003,120.8924751,Kuwait,29.3375,47.6581
1/1/2003,506.4337404,Saudi Arabia,25,45
1/1/2004,13.74716124,Belgium,50.8333,4
1/1/2004,34.80261874,Czech Republic,49.75,15.5
1/1/2004,136.9380193,France,46,2
1/1/2004,136.8263784,Germany,51,9
1/1/2004,29.44200214,Italy,42.8333,12.8333
1/1/2004,68.23328275,Netherlands,52.5,5.75
1/1/2004,78.68337045,Poland,52,20
1/1/2004,3.891627325,Portugal,39.5,-8
1/1/2004,28.36628305,Romania,46,25
1/1/2004,33.35006808,Spain,40,-4
1/1/2004,34.29933848,Sweden,62,15
1/1/2004,225.5324682,United Kingdom,54,-2
1/1/2004,229.0385422,Norway,62,10
1/1/2004,114.6970861,Kazakhstan,48,68
1/1/2004,1171.950468,Russia,60,100
1/1/2004,74.22938681,Ukraine,49,32
1/1/2004,399.952777,Canada,60,-95
