year,energy,country,lat,lng
1/1/2004,86.36267395,Argentina,-34,-64
1/1/2004,182.7082541,Brazil,-10,-55
1/1/2004,8.553610864,Chile,-30,-71
1/1/2004,75.31781871,Colombia,4,-72
1/1/2004,253.6131942,Mexico,23,-102
1/1/2004,1534.247078,China,35,105
1/1/2004,392.9275313,India,20,77
1/1/2004,264.7502332,Indonesia,-5,120
1/1/2004,98.67212522,Japan,36,138
1/1/2004,92.67570404,Malaysia,2.5,112.5
1/1/2004,42.09866889,South Korea,37,127.5
1/1/2004,12.4850127,Taiwan,23.5,121
1/1/2004,253.3740647,Australia,-27,133
1/1/2004,157.8728086,Algeria,28,3
1/1/2004,62.31820585,Egypt,27,30
1/1/2004,229.5152784,Nigeria,10,8
1/1/2004,131.4718401,Kuwait,29.3375,47.6581
1/1/2004,542.5881501,Saudi Arabia,25,45
1/1/2005,13.90603692,Belgium,50.8333,4
1/1/2005,33.20286748,Czech Republic,49.75,15.5
1/1/2005,137.106566,France,46,2
1/1/2005,136.8555109,Germany,51,9
1/1/2005,30.52383989,Italy,42.8333,12.8333
1/1/2005,62.45958184,Netherlands,52.5,5.75
1/1/2005,78.57473553,Poland,52,20
1/1/2005,3.611121455,Portugal,39.5,-8
1/1/2005,28.00239711,Romania,46,25
1/1/2005,31.15637343,Spain,40,-4
1/1/2005,34.54983665,Sweden,62,15
1/1/2005,205.3239748,United Kingdom,54,-2
1/1/2005,224.3874467,Norway,62,10
1/1/2005,118.6449076,Kazakhstan,48,68
1/1/2005,1202.928341,Russia,60,100
1/1/2005,79.17679747,Ukraine,49,32
1/1/2005,401.1026037,Canada,60,-95
1/1/2005,84.68545137,Argentina,-34,-64
1/1/2005,194.9981635,Brazil,-10,-55
1/1/2005,9.337976145,Chile,-30,-71
1/1/2005,78.59981276,Colombia,4,-72
1/1/2005,258.5372717,Mexico,23,-102
1/1/2005,1671.43592,China,35,105
1/1/2005,400.6980192,India,20,77
1/1/2005,279.6243712,Indonesia,-5,120
1/1/2005,103.7490456,Japan,36,138
1/1/2005,96.55788959,Malaysia,2.5,112.5
1/1/2005,46.59065433,South Korea,37,127.5
1/1/2005,12.4850673,Taiwan,23.5,121
1/1/2005,265.1570841,Australia,-27,133
1/1/2005,166.646895,Algeria,28,3
1/1/2005,77.98106083,Egypt,27,30
1/1/2005,233.5432804,Nigeria,10,8
1/1/2005,146.7523486,Kuwait,29.3375,47.6581
1/1/2005,570.9199439,Saudi Arabia,25,45
1/1/2006,13.76958084,Belgium,50.8333,4
1/1/2006,33.85339271,Czech Republic,49.75,15.5
1/1/2006,136.2039637,France,46,2
1/1/2006,138.814438,Germany,51,9
1/1/2006,30.38761826,Italy,42.8333,12.8333
1/1/2006,61.46905477,Netherlands,52.5,5.75
1/1/2006,77.57082843,Poland,52,20
1/1/2006,4.36309634,Portugal,39.5,-8
1/1/2006,28.08054451,Romania,46,25
1/1/2006,31.60210591,Spain,40,-4
1/1/2006,32.65196363,Sweden,62,15
1/1/2006,186.8844693,United Kingdom,54,-2
1/1/2006,215.6198154,Norway,62,10
1/1/2006,127.8646089,Kazakhstan,48,68
1/1/2006,1226.65144,Russia,60,100
1/1/2006,82.37228033,Ukraine,49,32
1/1/2006,417.8761197,Canada,60,-95
1/1/2006,86.02697988,Argentina,-34,-64
1/1/2006,206.6713207,Brazil,-10,-55
1/1/2006,9.622432028,Chile,-30,-71
1/1/2006,83.60119559,Colombia,4,-72
1/1/2006,259.3584631,Mexico,23,-102
1/1/2006,1792.652261,China,35,105
1/1/2006,405.7656103,India,20,77
1/1/2006,313.5172894,Indonesia,-5,120
1/1/2006,104.9738053,Japan,36,138
1/1/2006,94.02013231,Malaysia,2.5,112.5
1/1/2006,47.77070844,South Korea,37,127.5
1/1/2006,12.43596598,Taiwan,23.5,121
1/1/2006,269.8377409,Australia,-27,133
1/1/2006,164.9218197,Algeria,28,3
1/1/2006,80.97320856,Egypt,27,30
1/1/2006,233.2023572,Nigeria,10,8
1/1/2006,150.8652247,Kuwait,29.3375,47.6581
1/1/2006,565.2884329,Saudi Arabia,25,45
1/1/2007,14.39315624,Belgium,50.8333,4
1/1/2007,33.96675184,Czech Republic,49.75,15.5
1/1/2007,134.7220013,France,46,2
1/1/2007,136.3636596,Germany,51,9
1/1/2007,31.45230036,Italy,42.8333,12.8333
1/1/2007,60.20992128,Netherlands,52.5,5.75
1/1/2007,72.4560045,Poland,52,20
1/1/2007,4.63020862,Portugal,39.5,-8
1/1/2007,27.83463585,Romania,46,25
1/1/2007,30.73789576,Spain,40,-4
1/1/2007,33.31807594,Sweden,62,15
1/1/2007,176.1858143,United Kingdom,54,-2
1/1/2007,215.4679774,Norway,62,10
1/1/2007,132.2001635,Kazakhstan,48,68
1/1/2007,1238.77654,Russia,60,100
1/1/2007,83.20538535,Ukraine,49,32
1/1/2007,420.0697882,Canada,60,-95
1/1/2007,83.09348076,Argentina,-34,-64
1/1/2007,216.942793,Brazil,-10,-55
1/1/2007,9.370711828,Chile,-30,-71
1/1/2007,86.5760778,Colombia,4,-72
1/1/2007,247.5175635,Mexico,23,-102
1/1/2007,1916.5972,China,35,105
1/1/2007,424.6847498,India,20,77
1/1/2007,318.1456941,Indonesia,-5,120
1/1/2007,94.45129297,Japan,36,138
1/1/2007,93.86606293,Malaysia,2.5,112.5
1/1/2007,47.11347464,South Korea,37,127.5
1/1/2007,12.75926346,Taiwan,23.5,121
1/1/2007,286.1215488,Australia,-27,133
1/1/2007,164.2773272,Algeria,28,3
1/1/2007,85.34730137,Egypt,27,30
1/1/2007,236.0283725,Nigeria,10,8
1/1/2007,146.7863081,Kuwait,29.3375,47.6581
1/1/2007,546.4828572,Saudi Arabia,25,45
1/1/2008,13.96289535,Belgium,50.8333,4
1/1/2008,33.14744045,Czech Republic,49.75,15.5
1/1/2008,136.7245076,France,46,2
1/1/2008,132.740837,Germany,51,9
1/1/2008,33.2216051,Italy,42.8333,12.8333
1/1/2008,67.7194063,Netherlands,52.5,5.75
1/1/2008,71.30028373,Poland,52,20
1/1/2008,4.46357589,Portugal,39.5,-8
1/1/2008,29.09900839,Romania,46,25
1/1/2008,30.37737801,Spain,40,-4
1/1/2008,32.9888733,Sweden,62,15
1/1/2008,167.075408,United Kingdom,54,-2
1/1/2008,221.7564503,Norway,62,10
1/1/2008,144.4591169,Kazakhstan,48,68
1/1/2008,1253.605266,Russia,60,100
1/1/2008,84.28799233,Ukraine,49,32
1/1/2008,409.4682544,Canada,60,-95
1/1/2008,82.50095111,Argentina,-34,-64
1/1/2008,228.8022607,Brazil,-10,-55
1/1/2008,9.727636029,Chile,-30,-71
1/1/2008,92.62010959,Colombia,4,-72
1/1/2008,228.1109545,Mexico,23,-102
1/1/2008,1966.963267,China,35,105
1/1/2008,445.1652928,India,20,77
1/1/2008,323.1557722,Indonesia,-5,120
1/1/2008,92.19485595,Japan,36,138
1/1/2008,97.03376384,Malaysia,2.5,112.5
1/1/2008,49.60342274,South Korea,37,127.5
1/1/2008,12.70930588,Taiwan,23.5,121
1/1/2008,286.7824642,Australia,-27,133
1/1/2008,162.0260439,Algeria,28,3
1/1/2008,89.13954924,Egypt,27,30
1/1/2008,231.9824088,Nigeria,10,8
1/1/2008,153.0547022,Kuwait,29.3375,47.6581
1/1/2008,572.949095,Saudi Arabia,25,45
1/1/2009,14.77772838,Belgium,50.8333,4
1/1/2009,31.66188049,Czech Republic,49.75,15.5
1/1/2009,129.0875019,France,46,2
1/1/2009,126.4593221,Germany,51,9
1/1/2009,31.94961715,Italy,42.8333,12.8333
1/1/2009,62.98405389,Netherlands,52.5,5.75
1/1/2009,67.42950724,Poland,52,20
1/1/2009,4.91613127,Portugal,39.5,-8
1/1/2009,28.46618569,Romania,46,25
1/1/2009,30.41409615,Spain,40,-4
1/1/2009,30.13355326,Sweden,62,15
1/1/2009,157.9484597,United Kingdom,54,-2
1/1/2009,217.3492604,Norway,62,10
1/1/2009,148.0492073,Kazakhstan,48,68
1/1/2009,1190.305682,Russia,60,100
1/1/2009,79.3842211,Ukraine,49,32
1/1/2009,393.6150161,Canada,60,-95
1/1/2009,81.06821637,Argentina,-34,-64
1/1/2009,231.2839829,Brazil,-10,-55
1/1/2009,10.20826074,Chile,-30,-71
1/1/2009,98.20846161,Colombia,4,-72
1/1/2009,224.4914058,Mexico,23,-102
1/1/2009,2051.684495,China,35,105
1/1/2009,483.5727344,India,20,77
1/1/2009,350.7980686,Indonesia,-5,120
1/1/2009,97.52314884,Japan,36,138
1/1/2009,90.5287035,Malaysia,2.5,112.5
1/1/2009,49.39021878,South Korea,37,127.5
1/1/2009,12.83839814,Taiwan,23.5,121
1/1/2009,295.2893197,Australia,-27,133
1/1/2009,153.0354489,Algeria,28,3
1/1/2009,87.98878051,Egypt,27,30
1/1/2009,225.3463943,Nigeria,10,8
1/1/2009,130.4353167,Kuwait,29.3375,47.6581
1/1/2009,519.2740078,Saudi Arabia,25,45
1/1/2010,15.57250141,Belgium,50.8333,4
1/1/2010,32.05419613,Czech Republic,49.75,15.5
1/1/2010,136.0386435,France,46,2
1/1/2010,128.7354766,Germany,51,9
1/1/2010,33.22196412,Italy,42.8333,12.8333
1/1/2010,71.17129442,Netherlands,52.5,5.75
1/1/2010,67.40378532,Poland,52,20
1/1/2010,5.791884855,Portugal,39.5,-8
1/1/2010,27.598422,Romania,46,25
1/1/2010,34.62892586,Spain,40,-4
1/1/2010,32.88273797,Sweden,62,15
1/1/2010,148.4936944,United Kingdom,54,-2
1/1/2010,202.9968303,Norway,62,10
1/1/2010,156.878191,Kazakhstan,48,68
1/1/2010,1279.033571,Russia,60,100
1/1/2010,78.8123032,Ukraine,49,32
1/1/2010,400.8609337,Canada,60,-95
1/1/2010,79.51159493,Argentina,-34,-64
1/1/2010,247.3283889,Brazil,-10,-55
1/1/2010,9.222643958,Chile,-30,-71
1/1/2010,105.9324286,Colombia,4,-72
1/1/2010,214.5087939,Mexico,23,-102
1/1/2010,2236.238057,China,35,105
1/1/2010,503.6117694,India,20,77
1/1/2010,378.3361693,Indonesia,-5,120
1/1/2010,101.8270267,Japan,36,138
1/1/2010,90.19936391,Malaysia,2.5,112.5
1/1/2010,50.52154727,South Korea,37,127.5
1/1/2010,12.95680316,Taiwan,23.5,121
1/1/2010,323.3387507,Australia,-27,133
1/1/2010,150.5100206,Algeria,28,3
1/1/2010,84.48577588,Egypt,27,30
1/1/2010,253.9722944,Nigeria,10,8
1/1/2010,134.5558757,Kuwait,29.3375,47.6581
1/1/2010,531.4435627,Saudi Arabia,25,45
1/1/2011,16.12254676,Belgium,50.8333,4
1/1/2011,32.61398688,Czech Republic,49.75,15.5
1/1/2011,136.4412316,France,46,2
1/1/2011,122.6837047,Germany,51,9
1/1/2011,32.15457571,Italy,42.8333,12.8333
1/1/2011,66.42771116,Netherlands,52.5,5.75
1/1/2011,68.44123642,Poland,52,20
1/1/2011,5.520699395,Portugal,39.5,-8
1/1/2011,27.69952127,Romania,46,25
1/1/2011,32.20893368,Spain,40,-4
1/1/2011,32.77386131,Sweden,62,15
1/1/2011,129.8743451,United Kingdom,54,-2
1/1/2011,195.1856029,Norway,62,10
1/1/2011,160.2696541,Kazakhstan,48,68
1/1/2011,1299.039367,Russia,60,100
1/1/2011,85.61405944,Ukraine,49,32
1/1/2011,413.974062,Canada,60,-95
1/1/2011,77.95463249,Argentina,-34,-64
1/1/2011,249.6147708,Brazil,-10,-55
1/1/2011,9.882630027,Chile,-30,-71
1/1/2011,120.3649386,Colombia,4,-72
1/1/2011,216.814271,Mexico,23,-102
1/1/2011,2385.938082,China,35,105
1/1/2011,521.3766301,India,20,77
1/1/2011,420.7423751,Indonesia,-5,120
1/1/2011,53.87433657,Japan,36,138
1/1/2011,88.36209466,Malaysia,2.5,112.5
1/1/2011,53.02718505,South Korea,37,127.5
1/1/2011,13.55955523,Taiwan,23.5,121
1/1/2011,312.6993992,Australia,-27,133
1/1/2011,145.8317074,Algeria,28,3
1/1/2011,83.68830918,Egypt,27,30
1/1/2011,259.0931925,Nigeria,10,8
1/1/2011,154.2026717,Kuwait,29.3375,47.6581
1/1/2011,592.6790746,Saudi Arabia,25,45
1/1/2012,14.18626987,Belgium,50.8333,4
1/1/2012,32.67483661,Czech Republic,49.75,15.5
1/1/2012,134.7913197,France,46,2
1/1/2012,122.7070415,Germany,51,9
1/1/2012,35.16837432,Italy,42.8333,12.8333
1/1/2012,66.10997273,Netherlands,52.5,5.75
1/1/2012,71.75091032,Poland,52,20
1/1/2012,4.71677691,Portugal,39.5,-8
1/1/2012,27.31527321,Romania,46,25
1/1/2012,33.73531192,Spain,40,-4
1/1/2012,35.70065097,Sweden,62,15
1/1/2012,116.6799723,United Kingdom,54,-2
1/1/2012,200.1964121,Norway,62,10
1/1/2012,164.6373725,Kazakhstan,48,68
1/1/2012,1315.652664,Russia,60,100
1/1/2012,85.27316971,Ukraine,49,32
1/1/2012,425.418968,Canada,60,-95
1/1/2012,75.86772438,Argentina,-34,-64
1/1/2012,250.8292075,Brazil,-10,-55
1/1/2012,13.01988043,Chile,-30,-71
1/1/2012,124.5291378,Colombia,4,-72
1/1/2012,218.6039145,Mexico,23,-102
1/1/2012,2401.617375,China,35,105
1/1/2012,524.2023133,India,20,77
1/1/2012,433.106256,Indonesia,-5,120
1/1/2012,30.88371665,Japan,36,138
1/1/2012,87.81388617,Malaysia,2.5,112.5
1/1/2012,53.29716239,South Korea,37,127.5
1/1/2012,13.27499719,Taiwan,23.5,121
1/1/2012,320.8545554,Australia,-27,133
1/1/2012,143.7628687,Algeria,28,3
1/1/2012,82.17367192,Egypt,27,30
1/1/2012,265.8825629,Nigeria,10,8
1/1/2012,173.1094164,Kuwait,29.3375,47.6581
1/1/2012,624.9997964,Saudi Arabia,25,45
1/1/2013,15.00800359,Belgium,50.8333,4
1/1/2013,30.59134788,Czech Republic,49.75,15.5
1/1/2013,136.5717494,France,46,2
1/1/2013,120.5686568,Germany,51,9
1/1/2013,36.97238323,Italy,42.8333,12.8333
1/1/2013,69.7658621,Netherlands,52.5,5.75
1/1/2013,71.48620299,Poland,52,20
1/1/2013,5.82103954,Portugal,39.5,-8
1/1/2013,26.0514344,Romania,46,25
1/1/2013,34.97350531,Spain,40,-4
1/1/2013,34.72078147,Sweden,62,15
1/1/2013,109.545466,United Kingdom,54,-2
1/1/2013,191.3521223,Norway,62,10
1/1/2013,169.0729502,Kazakhstan,48,68
1/1/2013,1330.823382,Russia,60,100
1/1/2013,86.23606557,Ukraine,49,32
1/1/2013,445.0518369,Canada,60,-95
1/1/2013,72.47503683,Argentina,-34,-64
1/1/2013,252.1602232,Brazil,-10,-55
1/1/2013,14.60543582,Chile,-30,-71
1/1/2013,127.6637672,Colombia,4,-72
1/1/2013,216.7166557,Mexico,23,-102
1/1/2013,2467.497718,China,35,105
1/1/2013,522.2619399,India,20,77
1/1/2013,452.5823347,Indonesia,-5,120
1/1/2013,30.39162261,Japan,36,138
1/1/2013,93.51574871,Malaysia,2.5,112.5
1/1/2013,51.27522602,South Korea,37,127.5
1/1/2013,13.54292371,Taiwan,23.5,121
1/1/2013,344.4694068,Australia,-27,133
1/1/2013,137.6687093,Algeria,28,3
1/1/2013,77.31808919,Egypt,27,30
1/1/2013,249.517329,Nigeria,10,8
1/1/2013,170.330273,Kuwait,29.3375,47.6581
1/1/2013,614.4782231,Saudi Arabia,25,45
1/1/2014,12.65131002,Belgium,50.8333,4
1/1/2014,29.81929677,Czech Republic,49.75,15.5
1/1/2014,137.8209316,France,46,2
1/1/2014,119.8848204,Germany,51,9
1/1/2014,36.88837662,Italy,42.8333,12.8333
1/1/2014,60.30517262,Netherlands,52.5,5.75
1/1/2014,67.90131911,Poland,52,20
1/1/2014,6.045663315,Portugal,39.5,-8
1/1/2014,26.52404577,Romania,46,25
1/1/2014,35.36115845,Spain,40,-4
1/1/2014,34.4334435,Sweden,62,15
1/1/2014,107.9334206,United Kingdom,54,-2
1/1/2014,194.7181219,Norway,62,10
1/1/2014,166.2860013,Kazakhstan,48,68
1/1/2014,1319.254792,Russia,60,100
1/1/2014,77.2661311,Ukraine,49,32
1/1/2014,467.9760147,Canada,60,-95
1/1/2014,72.93621873,Argentina,-34,-64
1/1/2014,266.0879487,Brazil,-10,-55
1/1/2014,12.38011702,Chile,-30,-71
1/1/2014,130.0846243,Colombia,4,-72
1/1/2014,208.5670162,Mexico,23,-102
1/1/2014,2506.391368,China,35,105
1/1/2014,533.3232527,India,20,77
1/1/2014,449.3082857,Indonesia,-5,120
1/1/2014,28.98413032,Japan,36,138
1/1/2014,95.15939006,Malaysia,2.5,112.5
1/1/2014,57.52613278,South Korea,37,127.5
1/1/2014,13.63726711,Taiwan,23.5,121
1/1/2014,365.5402931,Australia,-27,133
1/1/2014,143.1964782,Algeria,28,3
1/1/2014,73.99141283,Egypt,27,30
1/1/2014,253.7686146,Nigeria,10,8
1/1/2014,166.4086837,Kuwait,29.3375,47.6581
1/1/2014,622.4178158,Saudi Arabia,25,45
1/1/2015,10.71949059,Belgium,50.8333,4
1/1/2015,28.89156479,Czech Republic,49.75,15.5
1/1/2015,138.5421713,France,46,2
1/1/2015,119.7127403,Germany,51,9
1/1/2015,36.28810415,Italy,42.8333,12.8333
1/1/2015,47.93620808,Netherlands,52.5,5.75
1/1/2015,68.5222851,Poland,52,20
1/1/2015,5.36800373,Portugal,39.5,-8
1/1/2015,26.61358255,Romania,46,25
1/1/2015,33.86407921,Spain,40,-4
1/1/2015,33.95161568,Sweden,62,15
1/1/2015,118.3196295,United Kingdom,54,-2
1/1/2015,203.6872832,Norway,62,10
1/1/2015,164.0801001,Kazakhstan,48,68
1/1/2015,1334.258521,Russia,60,100
1/1/2015,64.40839511,Ukraine,49,32
1/1/2015,470.3768861,Canada,60,-95
1/1/2015,73.77122579,Argentina,-34,-64
1/1/2015,277.5533654,Brazil,-10,-55
1/1/2015,12.08001658,Chile,-30,-71
1/1/2015,128.0984403,Colombia,4,-72
1/1/2015,189.6411844,Mexico,23,-102
1/1/2015,2515.905421,China,35,105
1/1/2015,537.9605276,India,20,77
1/1/2015,426.3975103,Indonesia,-5,120
1/1/2015,33.66466423,Japan,36,138
1/1/2015,96.96615072,Malaysia,2.5,112.5
1/1/2015,61.73565557,South Korea,37,127.5
1/1/2015,12.31314123,Taiwan,23.5,121
1/1/2015,381.2106328,Australia,-27,133
1/1/2015,142.7572198,Algeria,28,3
1/1/2015,69.56733394,Egypt,27,30
1/1/2015,254.1690349,Nigeria,10,8
1/1/2015,167.8461532,Kuwait,29.3375,47.6581
1/1/2015,648.6077478,Saudi Arabia,25,45
1/1/2016,15.34342137,Belgium,50.8333,4
1/1/2016,27.37020186,Czech Republic,49.75,15.5
1/1/2016,131.4757551,France,46,2
1/1/2016,115.6590372,Germany,51,9
1/1/2016,33.97138289,Italy,42.8333,12.8333
1/1/2016,46.0839996,Netherlands,52.5,5.75
1/1/2016,67.26298711,Poland,52,20
1/1/2016,6.061723065,Portugal,39.5,-8
1/1/2016,25.019649,Romania,46,25
1/1/2016,34.40027525,Spain,40,-4
1/1/2016,34.92746675,Sweden,62,15
1/1/2016,120.0619553,United Kingdom,54,-2
1/1/2016,207.9599819,Norway,62,10
1/1/2016,162.6869341,Kazakhstan,48,68
1/1/2016,1373.475229,Russia,60,100
1/1/2016,66.17284423,Ukraine,49,32
1/1/2016,473.9543193,Canada,60,-95
1/1/2016,75.75941054,Argentina,-34,-64
1/1/2016,284.1637912,Brazil,-10,-55
1/1/2016,12.5378249,Chile,-30,-71
1/1/2016,124.542353,Colombia,4,-72
1/1/2016,180.4366212,Mexico,23,-102
1/1/2016,2363.987445,China,35,105
1/1/2016,557.5053097,India,20,77
1/1/2016,434.3104162,Indonesia,-5,120
1/1/2016,37.26340725,Japan,36,138
1/1/2016,98.2999206,Malaysia,2.5,112.5
1/1/2016,62.37674576,South Korea,37,127.5
1/1/2016,10.86302615,Taiwan,23.5,121
1/1/2016,390.6044541,Australia,-27,133
1/1/2016,153.2527409,Algeria,28,3
1/1/2016,67.60692198,Egypt,27,30
1/1/2016,239.7647518,Nigeria,10,8
1/1/2016,174.5090596,Kuwait,29.3375,47.6581
1/1/2016,670.5338484,Saudi Arabia,25,45
1/1/2017,15.17464801,Belgium,50.8333,4
1/1/2017,27.71693032,Czech Republic,49.75,15.5
1/1/2017,129.9355108,France,46,2
1/1/2017,114.8009822,Germany,51,9
1/1/2017,34.48382305,Italy,42.8333,12.8333
1/1/2017,41.70162932,Netherlands,52.5,5.75
1/1/2017,65.81234824,Poland,52,20
1/1/2017,5.271665111,Portugal,39.5,-8
1/1/2017,26.10003561,Romania,46,25
1/1/2017,33.33606383,Spain,40,-4
1/1/2017,36.39844208,Sweden,62,15
1/1/2017,120.1632467,United Kingdom,54,-2
1/1/2017,213.840186,Norway,62,10
1/1/2017,180.2128244,Kazakhstan,48,68
1/1/2017,1429.202919,Russia,60,100
1/1/2017,57.98439966,Ukraine,49,32
1/1/2017,504.3894611,Canada,60,-95
1/1/2017,74.20402345,Argentina,-34,-64
1/1/2017,292.0427593,Brazil,-10,-55
1/1/2017,12.46325659,Chile,-30,-71
1/1/2017,122.6567146,Colombia,4,-72
1/1/2017,165.330683,Mexico,23,-102
1/1/2017,2448.293449,China,35,105
1/1/2017,566.9435889,India,20,77
1/1/2017,438.3776857,Indonesia,-5,120
1/1/2017,42.2828753,Japan,36,138
1/1/2017,101.7573274,Malaysia,2.5,112.5
1/1/2017,62.55812262,South Korea,37,127.5
1/1/2017,8.425478682,Taiwan,23.5,121
1/1/2017,407.3384253,Australia,-27,133
1/1/2017,152.6639172,Algeria,28,3
1/1/2017,72.38371644,Egypt,27,30
1/1/2017,246.0728423,Nigeria,10,8
1/1/2017,164.6695448,Kuwait,29.3375,47.6581
1/1/2017,653.1585014,Saudi Arabia,25,45
1/1/2018,11.65920884,Belgium,50.8333,4
1/1/2018,27.77702734,Czech Republic,49.75,15.5
1/1/2018,135.3867285,France,46,2
1/1/2018,114.9893529,Germany,51,9
1/1/2018,36.34190197,Italy,42.8333,12.8333
1/1/2018,31.2544386,Netherlands,52.5,5.75
1/1/2018,64.05086929,Poland,52,20
1/1/2018,5.941582414,Portugal,39.5,-8
1/1/2018,25.38105315,Romania,46,25
1/1/2018,33.95892572,Spain,40,-4
1/1/2018,36.7822945,Sweden,62,15
1/1/2018,123.8944271,United Kingdom,54,-2
1/1/2018,206.6453201,Norway,62,10
1/1/2018,189.5681047,Kazakhstan,48,68
1/1/2018,1492.237273,Russia,60,100
1/1/2018,58.33681702,Ukraine,49,32
1/1/2018,525.7660587,Canada,60,-95
1/1/2018,76.5628583,Argentina,-34,-64
1/1/2018,292.1644181,Brazil,-10,-55
1/1/2018,13.26013178,Chile,-30,-71
1/1/2018,118.8954691,Colombia,4,-72
1/1/2018,158.4058664,Mexico,23,-102
1/1/2018,2534.498684,China,35,105
1/1/2018,587.6551179,India,20,77
1/1/2018,440.9029515,Indonesia,-5,120
1/1/2018,47.67664209,Japan,36,138
1/1/2018,97.80227884,Malaysia,2.5,112.5
1/1/2018,61.4253225,South Korea,37,127.5
1/1/2018,9.662856909,Taiwan,23.5,121
1/1/2018,426.4135986,Australia,-27,133
1/1/2018,151.0750161,Algeria,28,3
1/1/2018,80.38415042,Egypt,27,30
1/1/2018,256.0901729,Nigeria,10,8
1/1/2018,167.737909,Kuwait,29.3375,47.6581
1/1/2018,676.4620478,Saudi Arabia,25,45
